Issue Type,Summary,Description,Status,Updated,Created,Comments,Comments.1,Comments.2,Comments.3,Comments.4,Comments.5,Comments.6,Comments.7,Comments.8,Comments.9,Comments.10,Comments.11,Comments.12,Comments.13,Issue key,Issue id,hours
Task,[CL][PPL][Estimacion][Melon - WS consult para devolver listado de documentos por tag personalizado],"Cliente: 76109779-2	Melon Cementos

Server: Masivo

PM: [~accountid:5ebc5cf14e41b90b7b563350]

Requerimiento:

Se solicita estimar las HH necesarias para crear un WS Consult que retorne las mismas columnas del gestor documental + 1 adicional de un personalizado utilizando como entrada este mismo tag personalizado y un rango de fechas, puede ser fechas de emisión o recepción en la plataforma, a definirse en la etapa de proyecto

Ejemplo

{noformat}<web:Consult>
<!--Optional:-->
<web:aRutCompany>76109779</web:aRutCompany>
<!--Optional:-->
<web:login>adm_ppl</web:login>
<!--Optional:-->
<web:pass>*****</web:pass>
<!--Optional:-->
<web:param>1|SUCURSAL1|2025-01-01|2025-01-02</web:param>
</web:Consult>{noformat}

Retorno, las columnas del reporte estandar + columna sucursal
TIPO DTE|FOLIO|RUT RECEPTOR|RAZON SOCIAL|FECHA INGRESO|FECHA EMISION|MONTO IVA|MONTO EXENTO|MONTO NETO|MONTO TOTAL|TASA IVA|ESTADO SII|DESC ESTADO SII|*SUCURSAL*

Quedamos atentos

Saludos!",Complete,3/4/2025 15:05,2/28/2025 10:13,"04/Mar/25 3:04 PM;5ebc596086d01b0b7d52c146;adjunto estimacion


|ACTIVIDAD|HH|
|Desarrollo metodo Consult y response personalizado|45|
|Toma de Requerimientos (Reuniones con SC)|2|
|Revisión de código|1|
|Pruebas Unitarias|5|
|Compilación y aprobación de código|2|
|TOTAL|55|",,,,,,,,,,,,,,CESQ-3882,2595981,55
Task,[CL][PPL][Estimacion][FEMSA - WS consult para devolver listado de documentos por tag personalizado],"Cliente: 76485515-9 Femsa Salud

Server: Retail 1

PM: [~accountid:5ebc59e0ed4a650b8e7ebd9d]

Requerimiento:

Se solicita estimar las HH necesarias para crear un WS Consult que retorne las mismas columnas del gestor documental + 1 adicional de un personalizado utilizando como entrada este mismo tag personalizado y un rango de fechas, puede ser fechas de emisión o recepción en la plataforma, a definirse en la etapa de proyecto

Ejemplo

{noformat}<web:Consult>
<!--Optional:-->
<web:aRutCompany>76485515</web:aRutCompany>
<!--Optional:-->
<web:login>adm_femsa</web:login>
<!--Optional:-->
<web:pass>*****</web:pass>
<!--Optional:-->
<web:param>1|SUCURSAL1|2025-01-01|2025-01-02</web:param>
</web:Consult>{noformat}

Retorno, las columnas del reporte estandar + columna sucursal
TIPO DTE|FOLIO|RUT RECEPTOR|RAZON SOCIAL|FECHA INGRESO|FECHA EMISION|MONTO IVA|MONTO EXENTO|MONTO NETO|MONTO TOTAL|TASA IVA|ESTADO SII|DESC ESTADO SII|*SUCURSAL*

Quedamos atentos

Saludos!",Complete,3/4/2025 15:04,2/26/2025 11:15,"04/Mar/25 3:04 PM;5ebc596086d01b0b7d52c146;Adjunto Estimacion


|ACTIVIDAD|HH|
|Desarrollo metodo Consult y response personalizado|45|
|Toma de Requerimientos (Reuniones con SC)|2|
|Revisión de código|1|
|Pruebas Unitarias|5|
|Compilación y aprobación de código|2|
|TOTAL|55|",,,,,,,,,,,,,,CESQ-3881,2593910,55
Story,[PPL][PE][PARQUE ARAUCO PERU]Estimación de hh para incorporar RUC en personalización recepción,"Holding Parque Arauco Perú
Plataforma : Paperless
Pais: Perú
Modelo de integración: Mixto

[~accountid:5ebc58b49ce9ee0b89bb088f] [~accountid:5ebc5ef996bbcb0b85b650ea]
Descripción:
El holding Parque Arauco ha solicitado incorporar un RUC adicional en Perú, y requiere que esta nueva sociedad cuente con la funcionalidad que consiste en mover los XML y/o PDFs originales recibidos en el correo y/o PDF estándar desde el ASP de Perú al servidor del cliente.

Esta implementación ya existe para PARQUE ARAUCO y en principio debería mantener la misma funcionalidad:

filetransfer

filtro: pplParqueArauco.jar

se solicita la cantidad de horas que tomaría incluir un nuevo RUC a la funcionalidad existente y que ya vienen utilizando otras sociedades.",Complete,2/21/2025 9:10,2/20/2025 19:02,"21/Feb/25 7:10 AM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5fa50590bb0b7b624bb7] , no encuentro en el repositorio de peru codigo asociado a ese jar que indicas “pplParqueArauco.jar”","21/Feb/25 8:55 AM;5ebc5fa50590bb0b7b624bb7;hola [~accountid:5ebc5bd3f235020b843a89ef]

ese nombre fue el que me brindó Miguel Rojas que ha implementado anteriormente para Parque Arauco tanto en Perú como en Colombia. Voy a preguntar al área técnica cual es el nombre correcto del jar que usa parque arauco para integrar la recepción en Perú.

Te confirmo.

saludos

Omar",21/Feb/25 9:10 AM;5ebc5bd3f235020b843a89ef;No existe jar asociado a la empresa por lo aumo que esto es solo configuración.,,,,,,,,,,,,CESQ-3879,2590021,0
Story,[PPL][CO][UTADEO]Estimación hh para elaboración de reporte con fecha de generación de eventos,"Razón Social: FUNDACION UNIVERSIDAD DE BOGOTA JORGE TADEO LOZANO
NIT: 860.006.848-6
Plataforma : PPL
Pais: Colombia

CC. [~accountid:5ebc58b49ce9ee0b89bb088f]
Descripción
Se solicita la estimación de hh para la elaboración de un reporte (excel) que permita la obtención de información recepcionado (OFICINA DE PARTES) pero en el que se incluya la fecha y hora en la que se ejecuto el evento DIAN

El reporte de excel a elaborar, debe de incluir la siguiente información (9 campos)

>Desc. del tipo de documento
>Numeración (prefijo y correlativo)
>Nit del emisor
>Razón social del emisor
>Fecha de ingreso
>Fecha de expedición (fecha emisión)
>Monto



*estos 7 datos actualmente ya se muestran en la plataforma, pero el cliente desea que se incluyan en el reporte a descargar

>Evento DIAN – Tipo de acuse 30 = Acuso de recibo , 033 = Aceptación comercial , 31 = Rechazo comercial , 32 = Recepción de los bienes
>Fecha Envío Evento DIAN

Se realizó la consulta con producto Sovos, y nos brindaron la información de tablas desde donde se puede obtener la información solicitada por el cliente

[^Tablas BD Acuse.xlsx]",Complete,2/21/2025 9:06,2/18/2025 18:44,"21/Feb/25 7:06 AM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5fa50590bb0b7b624bb7] , esto es al presionar el reporte de la oficina de partes es modificar esos reportes ?","21/Feb/25 8:52 AM;5ebc5fa50590bb0b7b624bb7;Hola [~accountid:5ebc5bd3f235020b843a89ef]

el requerimiento es para que se elabore el reporte vía query.

el área de producto proporciono las tablas desde donde se puede obtener la información.

*cabe indicar que primero genere un ticket a la cola de pstsc pero fue cerrado indicando que debería de gestionar a la cola de desarrollo cesq

saludos

Omar","21/Feb/25 9:06 AM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5fa50590bb0b7b624bb7] [~accountid:5ebc5e6cad226b0ba456526d]

Esto al ser solo una query que se ejecutara en la BD no corresponde a una customización por lo cual debes verlo asignarlo a PSTC. En la cola CESQ solo van las customizaciones.",21/Feb/25 9:06 AM;5ebc5bd3f235020b843a89ef;Se procede cierre no corresponde a esta cola la solicitud.,,,,,,,,,,,CESQ-3877,2587853,0
Story,CL - PPL- WALMART - ESTIMACION CAMPO HES-801-802,"RUT: 76243813-5 Walmart Servicios Generales SA

Integración: Mixto

SC: [~accountid:5e1643c0d5227b0e9d981cb3]



Hola,

Por favor solicito estimar:



Para el tipo de documento Factura Afecta,

Canal de emisión: Sap - Shared Folder

Alcance: En el tag <TpoDocRef> Permita recibir 801/802/HES u otro código valido para el SII.

No debe existir validación por orden de la información enviada por el cliente.



Situación Actual: (Ticket [https://sovos.atlassian.net/browse/CESQ-3804|https://sovos.atlassian.net/browse/CESQ-3804|smart-link] )

Opción 1:
Linea 1 801: XXXXXXXXX
Linea 2 802: XXXXXXXXX
Opción 2:
Linea 1 802: XXXXXXXXX
Linea 2 801: XXXXXXXXX
Opción 3:
Linea 1 801: XXXXXXXXX
Linea 2 Vacío
Opción 4:
Linea 1 802: XXXXXXXXX
Linea 2 Vacío
Opción 5:
Linea 1 Vacío
Linea 2 Vacío
Opción 6:
Linea 1 HES: XXXXXXXXX
Linea 2 801: XXXXXXXXX
Opción 7:
Linea 1 HES: XXXXXXXXX
Linea 2 802: XXXXXXXXX
Opción 8:
Linea 1 HES: XXXXXXXXX



{color:#0747a6}*Situación esperada:*{color}

h4. *1. Escenarios sin líneas:*

* Caso 1: No existe línea 1, línea 2 ni línea 3.
* Resultado: No crea la referencias.

h4. *2. Escenarios con una sola línea:*

* Caso 2: Solo línea 1 (801).
* Caso 3: Solo línea 2 (802).
* Caso 4: Solo línea 3 (HES).
* Resultado: Solo crea la referencia informada.

h4. *3. Escenarios con dos líneas:*

* Caso 5: Líneas 1 y 2 (801, 802) sin línea 3.
* Caso 6: Líneas 1 y 3 (801, HES) sin línea 2.
* Caso 7: Líneas 2 y 3 (802, HES) sin línea 1.
* Resultado: Solo crea la referencia informada.

h4. *4. Escenarios con tres líneas:*

* Caso 8: Todas las líneas presentes (801, 802, HES).
* Resultado: Crea las 3 referencias informadas

h4. *5. Escenarios adicionales de validación:*

* Caso 9: Línea 1 vacía de datos y las demás válidas.
* Caso 10: Línea 2 vacía de datos y las demás válidas.
* Caso 11: Línea 3 vacía de datos y las demás válidas.

h4. Ejemplo Caso 9:

HES:

801: xxxx

802: xxxx

h4. Ejemplo Caso 10:

801: XXXX

HES:

802: XXXX

h4. Ejemplo Caso 11:

802: XXXX

HES: XXXXX

801:",Complete,2/25/2025 12:35,2/18/2025 11:30,"21/Feb/25 9:48 AM;5e1643c0d5227b0e9d981cb3;anteriormente se había estimado un cambio similar en
[https://sovos.atlassian.net/browse/CESQ-3820|https://sovos.atlassian.net/browse/CESQ-3820|smart-link]

considerar los nuevos casos donde las referencias no necesariamente vienen en un orden determinado","24/Feb/25 1:12 PM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5cf14e41b90b7b563350]

Las HH son:

|ACTIVIDAD|HH|
|Agregar tercera linea referencia HES|70|
|Toma de Requerimientos (Reuniones con SC)|2|
|Pruebas Unitarias|8|
|Compilación y aprobación de código|1|
|*TOTAL*|*81*|",24/Feb/25 1:13 PM;5ebc5bd3f235020b843a89ef;Se envio estimación solicitada,,,,,,,,,,,,CESQ-3876,2587473,162
Story,[CL][UAT][CLARO COMUNICACIONES] Estimacion para manejo de nuevo spool,"*EMPRESA:* Claro Comunicaciones S.A.
*RUT:* 94675000-K
*PM:* [~accountid:5ebc5cf14e41b90b7b563350]



De la estimación inicial ([https://sovos.atlassian.net/browse/CESQ-3786|https://sovos.atlassian.net/browse/CESQ-3786|smart-link] )



Se solicita saber si está contemplado o se debe crear algo adicional por el cliente:

Los tipos de documentos son:

* *33-39-61*



* *Situación actual:*

Emisión DTH.

Cliente emite un archivo ZIP ( q contiene 3 archivos dentro _spf, DET, DIST) Sovos genera los XML con los tag de nombre canal DTH y Legado DTH



* *Situación futura*

El nuevo spool que enviará el cliente será de estructura “39_TUVES_MJMUNOZ_202041017.zip” y contendrá los siguientes archivos:

39_TUVES_22_tuves_DET

39_TUVES_22_tuves_spf

39_TUVES_22_tuves_DIST

Donde la estructura del archivo es:

33/39/61 : Tipo DTE

_ : separador

Canal: TUVES nuevo legado y el canal anterior DTH

El esperable del cliente es que Sovos en cada DTE generado considere los tag personalizados con la plabra TUVES (destacado en verde)",Complete,2/20/2025 14:49,2/13/2025 15:05,"14/Feb/25 7:28 AM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5cf14e41b90b7b563350] , Cual es la diferencia con el ticket anteriar que se le suma a esta solicitud?","18/Feb/25 9:35 AM;5ebc5cf14e41b90b7b563350;Hola [~accountid:5ebc5bd3f235020b843a89ef]

Es confirmar si en la estimación entregada al cliente está considerado:

Si el cliente cambia el nombre del archivo, nosotros generamos en cada XML los tag personalizados identificando el canal de emisión.



Quedo atenta.

Gracias,","20/Feb/25 9:13 AM;5ebc5cf14e41b90b7b563350;Diferencias ticket inicial:



* Tipo de OT : 39 -33-61
* Revisar como aplicar la solución para emisión online.","20/Feb/25 2:49 PM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5cf14e41b90b7b563350] ,

La estimación para masivo manejo de Spool es :

|ACTIVIDAD|HH|
|Agregar nuevo canal emision masiva (33,39,61)|54|
|Toma de Requerimientos (Reuniones con SC)|2|
|Revisión de código|2|
|Pruebas Unitarias|4|
|Compilación y aprobación de código|1|
|*TOTAL*|*63*|

Esto comsidera los tipos de DTE 39 -33-61 y tag personalizados segun el canal.

Esel mismo filtro para online que para masivo asi que los cambios en peronalizados afectan a la generacon online de este rut.",20/Feb/25 2:49 PM;5ebc5bd3f235020b843a89ef;Se envio estimación solicitada.,,,,,,,,,,CESQ-3874,2584231,63
Story,[MAPFRE][PER] ESTIMACIÓN METODO SOAP PARA OBTENER DIFERENTES DATOS DE DOC ELECTRÓNICO,"Se requiere estimar la creación de un método SOAP similar al *onLinerecovery*, que en la misma llamada, se puedan obtener los siguientes datos del documento electrónico:

* Estado SUNAT del documento (similar al que se obtiene actualmente en el onlinerecovery)
* XML del documento en formato Base64
* XML del CDR en formato Base64
* PDF del documento en formato Base64

Los parámetros de entrada serán los mismos del *onlinerecovery*",Complete,2/25/2025 12:28,2/10/2025 17:02,"12/Feb/25 7:18 AM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc5ef996bbcb0b85b650ea] , Las HH son:



|ACTIVIDAD|HH|
|Creacion de WS (Estructura)|40|
|Creacion metodos obtención Data|10|
|Incluir Ruc al jar y extender funcionalidad (3 Ruc)|1|
|Toma de Requerimientos (Reuniones con SC)|2|
|Revisión de código|2|
|Pruebas Unitarias|6|
|Compilación y aprobación de código|2|
|*TOTAL*|*63*|",12/Feb/25 7:19 AM;5ebc5bd3f235020b843a89ef;Se envio estimacion,,,,,,,,,,,,,CESQ-3871,2581924,126
Story,"CHILE - ESTIMACION - AMANECER SOLAR - NUEVO LOGO BO PARA 52 RUTs CON GENERACION POR WS, MANUAL Y MASIVA POR FTP - FILTRO FULL - FULL ASP","h2. Implementación

Quién lo solicita?:

*Nombre Empresa*: AMANECER SOLAR SPA.
Canal: BACKOFFICE
NIT/RUT/RUC: [^SRD_Amanecer_Solar.v2.xlsx]
Producto: BO
Tipo de Integración: FULL ASP
PM asignado (si existe): [~accountid:5ebc5b659ce9ee0b89bb1a90]
SC: [~accountid:5ebc612296bbcb0b85b66075]
Salesfore: ADMIN
Tarea: Work Estimation

Qué solicita?:

Descripción (Que, para qué):

Se necesita estimar la evaluación de customizaciones para nuevo cliente que quiere la implementación de 52 RUTs.

Los detalles son:

* Tipo de Documentos considerados en la emisión:
** Factura Afecta.
** Factura Exenta.
** Nota de Crédito.
** Nota Débito.
** Guía de Despacho.

* *EMISIÓN*.
Características integración *BackOffice (BO) FULL ASP*.

* Ubicación servidor Cloud SOVOS.
** Canal de comunicación: *Web Services, SFTP (con retorno de respuesta de Estado en SFTP*
** Mensaje de entrada: estándar SOVOS (*Filtro Full*)
** Sin impresión automática.
** Foliación: Sovos
** Layout: PDF carta personalizado.
** Contingencia (Emisión manual desde Portal web con plantillas estándar)
** Mailing: estándar
** Distribución: Estándar
** Cliente imprime.



Lo que se requiere es estimar la creación de un proceso que deje las respuestas de los Estados de la emisión Masiva por SFTP, en el mismo SFTP.

Cabe destacar que anteriormente se hbía solicitado esta estimación en el ticket [https://sovos.atlassian.net/browse/CESQ-3814|https://sovos.atlassian.net/browse/CESQ-3814|smart-link] , pero en esa oportunidad fue solicitada para un sólo RUT, v/s los 52 que se solicita esta vez.

Cualquier detalle estaremos atentos.

Saludos",Complete,2/7/2025 12:20,2/7/2025 12:00,"07/Feb/25 12:19 PM;5ebc596086d01b0b7d52c146;|ACTIVIDAD|HH|
|Desarrollo userexit entrega respuesta Masiva en SFTP|25|
|Extender a 50 rut|20|
|Toma de Requerimientos (Reuniones con SC)|2|
|Revisión de código|1|
|Pruebas Unitarias|5|
|Compilación y aprobación de código|2|
|TOTAL|55|",,,,,,,,,,,,,,CESQ-3870,2580385,55
Story,CHILE - FEMSA- ESTIMACION HHS AGREGAR REFERENCIAS GENERACION SPF 2 RUTS,"*Empresas*: Provefarma , Agencia
*Ruts*:77712318-1 , 77722823-4
*Integracion*: Mixto BO
*Tipo Documentos Afectados:* Factura Afecta , Nota de Credito , Nota de Debito

*Descripcion*:
Cliente desea estimar esfuerzos para agregar 4 referencias adicionales en xml , actualmente ruts de alcance solo pueden agregar una referencia por limitancias de desarrollo . Estas referencias deberan implementarse en las lineas finales de cada tipo de documento siguiendo la logica de la referencia actual :

|Fila (fila varia por cada nueva referencia)|Columna|Largo|Nombre Campo (TAG SII)|Nodo Padre|
|X|23|3|TpoDocRef|Referencia|
|X|30|18|FolioRef|Referencia|
|X|52|10|FchRef|Referencia|

*Consideraciones*
Generacion de ambos ruts es a traves de archivo .spf
Se adjunta archivo de intercambio para generación con .spf",Complete,2/7/2025 15:29,2/6/2025 9:50,"07/Feb/25 1:01 PM;5ebc596086d01b0b7d52c146;Podrias compartir los filtros , pues no veo en repositorio algun jar para ese rut salvo uno para OT, por ello creo que son xsl

Saludos","07/Feb/25 3:06 PM;5ebc612ff235020b843ab01f;Hola [~accountid:5ebc596086d01b0b7d52c146] , adjunto jar solicitado

[^pplSOCOFAR.jar]","07/Feb/25 3:29 PM;5ebc5bd3f235020b843a89ef;[~accountid:5ebc612ff235020b843ab01f] ,

|ACTIVIDAD|HH|
|Agregar 4  referencias a Factura Afecta , Nota de Credito , Nota de Debito 2 Rut|36|
|Toma de Requerimientos (Reuniones con SC)|2|
|Pruebas Unitarias|5|
|Compilación y aprobación de código|2|
|*TOTAL*|*45*|

*Nota:* Para el desarrollo se debe especificar el numero de linea donde iran cada referencia",07/Feb/25 3:29 PM;5ebc5bd3f235020b843a89ef;Se envio estimación,,,,,,,,,,,CESQ-3868,2578972,90
Research & Design,[Deceuninck][COL] Estimación de HH por desarrollo personalizado para configurar reenvío automático de PDF y XML a buzón de correo del cliente,"*Nombre Empresa*: Deceuninck
*NIT/RUT/RUC*: 9010667862
*Producto*: FACTURA ELECTRONICA
*Tipo de Integración*: COAPI con PPL
*Salesforce*: Work Estimations
*Task*: Build - Desarrollo de filtro

*PM:* [~accountid:5ebc5ef996bbcb0b85b650ea]

*Qué solicita?*:

Se solicita la estimación de HH por desarrollo personalizado para configurar el envío de PDF y XML originales hacia nuestro cliente, desde el proceso de Recepción de Documentos (módulo de Oficina de Partes). Para ello, el cliente nos ha brindado 2 opciones:

*Opción 1:*

Se solicita la estimación de hh por desarrollo personalizado para configurar el reenvío automático de los correos originales del proveedor a un buzón de correo de nuestro cliente (…@deceuninck.com). Esta actividad se realizará para el módulo de Oficina de Partes (Recepción de documentos). Esta configuración les permitirá recuperar el PDF y XML originales enviados por el proveedor de nuestro clientes y procesarlos en sus sistemas ERP.

*Opción 2:*

Se solicita la estimación de hh por desarrollo personalizado para configurar la descarga automática de los PDF y XML originales hacia una carpeta SFTP en la red del cliente. Cabe mencionar que el cliente cuenta con integración COAPI con Backend PPL (ASP401). El cliente obtendrá estos archivos desde la carpeta SFTP y los procesará en su sistema ERP.



Cabe mencionar que el cliente recién implementará el proceso de Recepción de documentos con Sovos (Oficina de partes), Asimismo, estos archivos XML y PDF serán enviados desde el proveedor hacia nuestro server PPL en forma de una carpeta ZIP.

Por favor, enviar ambas estimaciones por separado, ya que el cliente elegirá cuál de las dos opciones se acomoda más a su integración.



En caso sea necesario una reunión de entendimiento me lo hacen saber.

Muchas gracias de antemano.

Saludos",Complete,2/7/2025 12:37,2/4/2025 16:01,"05/Feb/25 10:21 AM;5ebc596086d01b0b7d52c146;Jose
adjunto estimacion


|ACTIVIDAD|HH|
|Obtencion PDF y XML original desde envio cliente |35|
|Desarrollo entrega PDF XML a SFTP SOVOS|25|
|Revisión de código|1|
|Pruebas Unitarias|2|
|Compilación y aprobación de código|1|
|TOTAL|64|","07/Feb/25 12:37 PM;5ebc5c856c84140b9ebf831e;Hola Cristóbal, muchas gracias por el apoyo,

Saludos",,,,,,,,,,,,,CESQ-3867,2577474,64
Story,CL- ESTIMACIÓN - PARIS TxD - INCLUIR RUT COMPRADOR EN FACTURA Y NOTA DE CRÉDITO,"h2. Plataforma

Quién lo solicita?:
Nombre Empresa: PARIS TxD
Canal: Paris TxD
NIT/RUT/RUC: 81201000-K
Producto: ASP
Tipo de Integración: Full ASP
PM asignado: [~accountid:5ebc5b659ce9ee0b89bb1a90]
Salesforce: Estimación
Tarea: N/A


Qué solicita?:
Descripción (Que, para qué):

El cliente nos indica el siguiente requerimiento:

Con ocasión de la resolución del SII que nos exige enviar a Sovos en los XML de Facturas y NC el RUT del solicitante:

# Para el actual POS de Paris TxD, - cuyo componente está desarrollado en punto Net, requerimos que nos confirmen en qué TAG de la factura debemos informar el RUT de quien solicita la factura.

En el formato de intercambio que actualmente utiliza el POS de Paris TxD se aprecia que no existe un TAG para el dato RUT del solicitante de factura (se adjunta Excel).

# Para las Notas de crédito de Paris TxD, - que se envían desde el AS400 a Sovos-, necesitamos que nos confirmen en qué TAG de la NC debemos informar el RUT del cliente que solicita la NC.

# Para determinadas Facturas electrónicas que se emiten centralmente, no en el POS, y que se envían desde el AS400 a Sovos, requerimos que nos confirmen en qué TAG de la Factura debemos informar el RUT del cliente que solicita la Factura.

*Notas:*

·         En los POS de Eurofashion, -que ya están migrados al POS regional-, si existe el tag para informar el Rut del solicitante en la Factura y la NC.

·         Además, entiendo que para cumplir la resolución se requiere que Sovos muestre el dato RUT SOLICITANTE en su sitio cuando se consulten las Facturas y NC. Esto aplica tanto para los POS de Eurofashion como los de Paris TxD.

·         Adjunto

o   FormatoBB_FA_11122017 correspondiente al formulario de intercambio de las boletas y facturas de POS Paris TxD.

o   Ejemplo de Factura de POS Paris enviadas desde la caja a Sovos

o   Ejemplo de Factura Paris enviadas desde el AS400 por cola *MQ*

o   Documentos de formato y ejemplo enviados por colas *MQ*



Se adjuntan documentos

[^MQ - Descripcion_tags.pdf]
[^Ejemplo POS Paris Prod - Factura 23051101.pdf]
[^Ejemplo Paris AS400 Prod NC 28858805.pdf]
[^Ejemplo Paris AS 400 Factura 22696483.pdf]
[^MQ - Intercambio_Paperless_DTE_Full_03082020.xlsx]
[^MQ - FormatoDTE.NC.ND.xls]
[^MQ - FormatoBB.xls]
[^FormatoBB_FA_11122017.xlsx]
[^Ejemplo POS Paris Prod - Factura 23051101.xml]
[^Ejemplo Paris AS400 Prod NC 28858805.xml]
[^Ejemplo Paris AS400 Factura 22696483.xml]
[^Requerimiento -04864565 - Paris TxD.pdf]",Complete,2/12/2025 9:55,2/3/2025 14:45,06/Feb/25 9:39 AM;5ebc596086d01b0b7d52c146;Hugo y que tag es ese?,"07/Feb/25 11:18 AM;5ebc5b659ce9ee0b89bb1a90;Cristobal,

El tag es:

Rut de Solicitante de factura, <*RUTSolicita*>

Estaré atento,

HBM","07/Feb/25 12:23 PM;5ebc596086d01b0b7d52c146;Hugo

ese tag no existe en el filtro de Paris ni para colas MQ, por ello se deben definir donde se enviara esa informacion

Referente a [pos.net|http://pos.net] , este equipo no ve esa funcion , debes canalizar con producto como el punto “Además, entiendo que para cumplir la resolución se requiere que Sovos muestre el dato RUT SOLICITANTE en su sitio cuando se consulten las Facturas y NC. Esto aplica tanto para los POS de Eurofashion como los de Paris TxD.“

Cuando tengas la posicion donde cliente lo enviara nos avisas para estimar el desarrollo, solo para MQ

Saludos",,,,,,,,,,,,CESQ-3866,2576217,0
Task,[CL][PPL][Estimacion][Puratos - Modificar retorno WebService],"Cliente: 96511330-4 PURATOS DE CHILE S A

PM: [~accountid:5ebc5cf14e41b90b7b563350]

Requerimiento:

Cliente indica que el el retorno actual, que corresponde a un XML que tiene otro XML dentro de una seccion CDATA, no puede ser interpretado. Para poder consumirlo el cliente solicita un WS que solo contenga la data en la seccion <ns:return>

Por favor entregar estimado con retorno en base64 o como texto

Ejemplo en Base64

{code:xml}<soapenv:Envelope xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"">
<soapenv:Body>
<ns:OnlineRecoveryResponse xmlns:ns=""http://webservices.online.webapp.paperless.cl"">
<ns:return>
UmVjZXB0b3J8RW1pc29yfFRpcG9EVEV8Rm9saW98WE1MfFBERiA5NjUxMTMzMC00fDc2NzI0NTk1LTV8NjF8NzA4OXxodHRwOi8vYXNwNDAyci5wYXBlcmxlc3MuY2wvRmFjdHVyYWNpb24vWE1MU2VydmxldD9kb2NJZD1wWndGaGVzZGoybU1vNHRwT2JEYXptOG9IMmh2M0NwMyZzdG9yZT1SfGh0dHA6Ly9hc3A0MDJyLnBhcGVybGVzcy5jbC9GYWN0dXJhY2lvbi9QREZTZXJ2bGV0P2RvY0lkPXBad0ZoZXNkajJtTW80dHBPYkRhem04b0gyaHYzQ3AzJnN0b3JlPVINCgkJ
</ns:return>
</ns:OnlineRecoveryResponse>
</soapenv:Body>
</soapenv:Envelope>
{code}

Ejemplo con texto

{code:xml}<soapenv:Envelope xmlns:soapenv=""http://schemas.xmlsoap.org/soap/envelope/"">
<soapenv:Body>
<ns:OnlineRecoveryResponse xmlns:ns=""http://webservices.online.webapp.paperless.cl"">
<ns:return>
Receptor|Emisor|TipoDTE|Folio|XML|PDF
96511330-4|76724595-5|61|7089|http://asp402r.paperless.cl/Facturacion/XMLServlet?docId=pZwFhesdj2mMo4tpObDazm8oH2hv3Cp3&store=R|http://asp402r.paperless.cl/Facturacion/PDFServlet?docId=pZwFhesdj2mMo4tpObDazm8oH2hv3Cp3&store=R
</ns:return>
</ns:OnlineRecoveryResponse>
</soapenv:Body>
</soapenv:Envelope>
{code}



Antecedentes:

* Estimación original: [https://sovos.atlassian.net/browse/CESQ-3745|https://sovos.atlassian.net/browse/CESQ-3745|smart-link]
* Desarrollo: [https://sovos.atlassian.net/browse/CESQ-3748|https://sovos.atlassian.net/browse/CESQ-3748|smart-link]

Quedamos atentos",Complete,2/3/2025 14:33,1/30/2025 13:05,"03/Feb/25 2:33 PM;5ebc5bd3f235020b843a89ef;[~accountid:5e1643c0d5227b0e9d981cb3] , Las HH involucradas son:

|ACTIVIDAD|HH|
|Cambio retorno Consult|8|
|Retorno base 64|5|
|Toma de Requerimientos (Reuniones con SC)|2|
|Pruebas Unitarias|2|
|Compilación y aprobación de código|1|
|*TOTAL*|*18*|",03/Feb/25 2:33 PM;5ebc5bd3f235020b843a89ef;Se envio estimacion solicitada,,,,,,,,,,,,,CESQ-3865,2573309,36
Story,CHILE - CAROZZI - ESTIMACION HH'S PARA ACTUALIZACION RELEASE GW BO + BBDD,"*Empresas*: Holding Carozzi (9 ruts)
*Integracion*: MIXTO BO ( Filtro Full)

*Descripcion*
Se solicita revisar y estimar HH’s (si aplica) posibles cambios en desarrollos producto de actualizacion a ultimo release y base de datos en GW BO QA y PRD

IP PRD : 192.168.133.19
IP QA: 192.168.133.15

BBDD: PostgreSQL 9.6 → BBDD: PostgreSQL 15
Release (de acuerdo a lo encontrado en carpeta ACT) : 64.4.3-41 → 66.9

*Posibles procesos afectados*
Conexion a ftp
posibles problemas en impresiones",Complete,2/5/2025 16:53,1/29/2025 15:36,"29/Jan/25 4:03 PM;5ebc596086d01b0b7d52c146;Ronald

no tenemos como saber si algo pasara por eso deja unas 20 hh de apoyo si fuese necesario para ajustar algun desarrollo",,,,,,,,,,,,,,CESQ-3864,2572158,20
