Summary,Description,Status,Updated,Created,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Comments,Issue key,Issue id
[CL][PPL][Estimacion][Kaufmann - Reprocesar documentos fuera de horario],"Cliente: Holding Kaufmann

TipoDTE: Solo 33

Ambiente: GW Productivo cliente

PM: [~accountid:5ebc5cf14e41b90b7b563350] 

Requerimiento:

Kaufmann necesita realizar el reproceso de un flujo backoffice para generar el PDF de documentos emitidos.

Esta actividad deberá realizarse de forma parcializada y fuera de horario para no afectar el flujo normal de Kaufmann.

Se estima que deberán procesarse máximo 2.000 documentos cada noche para no impactar el flujo.

Consideraciones:

* Existen cerca de 150.000 documentos pendientes de reproceso
* El agente procesa 20 documentos cada 5000 ms
* Yo estaré disponible para entregar acceso a la plataforma
* No se considera monitoreo de la actividad, se espera que la actividad sea entrar, ejecutar la query y salir.

Quedamos atentos en caso de consultas

saludos!",Done,04/Jun/25 9:28 AM,27/May/25 6:40 PM,"28/May/25 4:03 PM;5ebc5e6cad226b0ba456526d;[~accountid:5e1643c0d5227b0e9d981cb3] esa estimacion de reprocesamiento como se determinó ? Si es asi se realizará en 75 dias, me parece excesivo.","30/May/25 10:44 AM;5e1643c0d5227b0e9d981cb3;hola [~accountid:5ebc5e6cad226b0ba456526d] !

Lo que nos frena es un proceso automático del cliente que toma los PDF que generamos y los copia en otra máquina dentro de su RED

Si generamos muchos PDFs viejos los nuevos dejan de llegarles a sus sitemas y les impacta la operación.

El cliente desconoce la velocidad real del proceso. Se estimó un máximo de 2.000 documentos diarios para evitar problemas, durante la fase de proyecto podría aumentar la cantidad de documentos diarios si el flujo lo soporta.","04/Jun/25 9:28 AM;5ebc5e6cad226b0ba456526d;Se estima en 25 HH, contando 20 min cada dia por 75 dias. Esto dadas las condiciones que indica el cliente.",,,,,,,PSTC-27339,2669877
[CL][UAT][GEODIS] Estimacion migración modelo mixto -> cloud Sovos,"*EMPRESA:* GEODIS CHILE, SOLUCIONES INTEGRALES DE LOGISTICA LTDA 
*RUT:* 79.699.520-3

*EMPRESA:* PELSOLUTIONS S A 
*RUT:* 99.542.860-1

Estimados,

Se solicita conocer estimación para migración de cliente mencionado desde su modelo actual (mixto) a modelo full-asp (cloud Sovos).

Cliente emite a través de WS a BO y la foliacion la realiza el cliente.

Considerar lo siguiente:

* Actualización de motor bd (cliente posee postgres 8.3)
* Actualización de release BO
* Hypercare
* Extracción e instalación de plantillas a nuevo egateway bo Sovos
* Apoyo en pruebas y validaciones de ambiente

Quedamos atentos.

Saludos!",Done,28/May/25 4:10 PM,26/May/25 12:07 PM,"26/May/25 9:34 PM;5ebc5e6cad226b0ba456526d;Favor confirmar a que modelo se migrará. (full asp o egw cloud). Cabe decir que en ninguna de las opciones aplica actualizacion de release o actualizacion de BD, ya que son ambientes SOVOS que se mantienen actualizados, ademas de ser ambientes compartidos.","27/May/25 12:35 PM;60a73cdd2009f10068da598e;Estimado Matias gracias por su comnetario, Aplica para modelo full asp.

Saludos!","28/May/25 4:10 PM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Migracion configuraciones 2 Ruts QA|5|
|Migracion configuraciones 2 Ruts PRD|5|
|Testing/hypercare|5|
|Total|15|",,,,,,,PSTC-27323,2668561
CHILE - ESTIMACION - EQUINOX LOS ANDES - INSTALAR Y CONFIGURAR MODULO PRINTER,"EQUINOX LOS ANDES SPA 77402098-5
Ambiente: QA
Servidor: Printer 
Integración: ADMIN
*Salesforce:* Work Estimation
*Task:* Buils Task
PM: [~accountid:5ebc5b659ce9ee0b89bb1a90]
SC: [~accountid:5ebc612296bbcb0b85b66075]

DESCRIPCION:
Estimados, se solicita estimar la instalación y configuración del módulo Printer, en un equipo del cliente. 

Adicionalmente, se requiere saber si es posible que el módulo realice lo que el cliente espera de ser factible, indicar como realizarlo, para confirmarlo en la respuesta al cliente a su solicitud: 

“Necesitamos validar si es software “printer” de SOVOS nos puede servir para la impresión masiva de Facturas, Guías de despacho, notas de crédito (*todas en formatos cedibles y no cedibles según corresponda*).  La idea es que puedan indicarnos los siguientes puntos:

# El SW Printer, permite la impresión de estos documentos en dichos formatos?”

Gracias.",Done,26/May/25 5:00 PM,26/May/25 11:27 AM,"26/May/25 4:59 PM;5ebc5e6cad226b0ba456526d;La eleccion de plantilla si es posible. 
La estimacion es de 2 hh por cada PC o servidor donde el cliente lo requiera.",,,,,,,,,PSTC-27321,2668514
CHILE - ESTIMACION - PARQUE ARAUCO - HABILITAR CAMBIO DINAMICO DE LOGO EN PLANTILLAS POR PARTE DEL CLIENTE,"EMPRESA: Parque Arauco
RUTs : 13

|Parque Arauco S.A.|94.627.000-8|
|Todo Arauco S.A.|96.671.020-9|
|Arauco Malls Chile S.A.|96.734.110-k|
|Inmobiliaria Paseo de la Estacion S.A.|96.547.010-7|
|Plaza Estación S.A.|86.339.000-1|
|Desarrollos Inmobiliarios San Antonio S.A.|76.111.950-8|
|Parque Angamos SPA|76.455.843-K|
|Centros Comerciales Vecinales Arauco Express S.A.|76.187.012-2 |
|Inv Parque Arauco Uno|76.013.218-7|
|Bulevar Rentas Inmobiliarias S.A.|76.231.235-2|
|Arauco Centros Comercial|76.939.541-5|
|Arauco Chillán SPA|76.939.551-2|
|Inversiones Arauco SpA|76.625.357-1|

Salesforce: ADMIN
Task: Work Estimation
PM: [~accountid:5ebc5b659ce9ee0b89bb1a90] 
SC: [~accountid:5ebc612296bbcb0b85b66075]

DETALLE:

Se solicita la estimación a la solicitud del cliente, de poder realizar de forma autónoma, cambios al logo de las plantillas de los documentos de las 13 sociedades indicadas más arriba.

Por favor indicar factibilidad y de ser factible, evaluar las HH que tomaría realizar este cambio, indicando las consideraciones a tomar en cuenta para llevarlo a cabo, gracias.",Done,28/May/25 4:10 PM,20/May/25 5:47 PM,"22/May/25 9:28 AM;5ebc5e6cad226b0ba456526d;No es posible estimar lo indicado, pues no existe funcionalidad en plataforma que lo permita.",22/May/25 12:26 PM;5ebc5e6cad226b0ba456526d;[~accountid:5ebc612296bbcb0b85b66075] podria ser si las imagenes se encuentran publicadas en algun servidor del cliente y estas sean referenciadas en la plantilla mediante una URL.,"22/May/25 3:17 PM;5ebc612296bbcb0b85b66075;Perfecto [~accountid:5ebc5e6cad226b0ba456526d] , consultado el cliente, indica que ellos dejarán las imágenes en un servidor de AWS (S3), por favor proceder con la estimación de este cambio, gracias.","27/May/25 6:23 PM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Obtenecion/instalacion plantillas|2|
|Modificacion al logo|10|
|hypercare|1|
|Total|13|",,,,,,PSTC-27279,2665121
[CL][UAT][WOM] Estimacion modificación plantillas y mailing (razon social),"*EMPRESA:* WOM
*RUT:* 78921690-8
*PM:* [~accountid:5ebc5cf14e41b90b7b563350]

Estimados,

Se solicita conocer estimación para cliente WOM donde se debe realizar el siguiente ajuste en TODAS las plantillas que utiliza actualmente WOM y el correspondiente mailing:

* Razon Social Actual: WOM S.A.
* Razon Social Esperada: WOM S.p.A.
* !image-20250519-192357.png|width=542,height=173,alt=""image-20250519-192357.png""!


Adicionalmente cliente solicita catastro de plantillas que están vigentes en Sovos para que pueda identificar las que siguen siendo utilizadas por el cliente y las que no.

Favor indicar si para la modificación del mailing, aplica que el cliente debe realizar la entrega de los html modificados (debido al tamaño del cambio a realizar). En caso de ser así favor compartir los mailing que existan para el cliente WOM.

Considerar en la estimación:

* Extracción de plantillas PRD
* Obtención de mailings activos en PRD
* Modificación de plantillas / mailing (si aplica)
* Instalación de plantillas y mailing en ambientes UAT/PRD (eserver/egateway)
* Entrega de muestras
* Catastro de plantillas vigentes
* Hypercare

Quedamos atentos.

Saludos!",Done,20/May/25 6:57 PM,19/May/25 3:26 PM,"20/May/25 6:40 PM;5ebc57aaf235020b843a6f2d;Katina, 

para este cambio se necesita de lo siguiente:

||*ACTIVIDAD*||*HH*||
|Extraer plantillas|1|
|Modificación de plantillas (son alrededor de 80 tipos de documentos)|15|
|Cambio de mailing (Por lo que revise los mailing tienen una imagen en donde tienen la palabra “WOM S.A.”, solo seria cambiar el link o que ellos modifiquen su imagen [https://1701336841.rsc.cdn77.org/mailings/2019/octubre/mailing-boletas/img/app--wom.jpg|https://1701336841.rsc.cdn77.org/mailings/2019/octubre/mailing-boletas/img/app--wom.jpg], de ser así no deberiamos contar estas HH)|4|
|Muestras|2|
|Ajustes (por lo general aqui ocupamos hartas hh porque el cliente tiende a enviar cambios de ultima hora)|6|
|Instalación de plantillas QA|1|
|Instalacion de plantillas en PRD|1|
|Catastro de plantillas|2|
|Hypercase|4|
|*TOTAL*|*36 HH*|

Salufdos.-",,,,,,,,,PSTC-27273,2663796
[CL][UAT][DECATHLON] Estimacion para modificacion de PDF boletas (tasa iva 0%),"*EMPRESA*: Decathlon. 
*RUT*: 76507443-6
*PM:* [~accountid:5ebc5cf14e41b90b7b563350]

Estimados,

Se solicita conocer estimación para modificación de plantillas de boletas afectas que actualmente indican la siguiente glosa en el cuadro de totales respecto a la tasa de IVA:



* 0% I.V.A
* !image-20250519-191603.png|width=962,height=1167,alt=""image-20250519-191603.png""!

El esperable es que indique el siguiente valor en la glosa destacada anteriormente:

* 19% I.V.A

Favor considerar en su estimación lo siguiente:

* Extracción de plantillas PRD
* Instalación de plantillas UAT/PRD (eServer/eGateway cliente)
* Entrega de muestra
* Hypercare

Adjunto XML y PDF de documento extraido de producción.

Quedamos atentos.

Saludos!",Done,22/May/25 12:30 PM,19/May/25 3:18 PM,"22/May/25 12:29 PM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Extraccion y instalacion eserver/egw|2|
|Modificacion Boleta Afecta|2|
|hypercare|1|
|Total|5|",,,,,,,,,PSTC-27272,2663787
[CL][PPL][Estimacion][Kaufmann - Agregar campo personalizado para plantilla tipo 46 manual 2 sociedades],"Cliente: 2 Ruts de Kaufmann

Sociedad Motores de Los Andes SpA 76005909-9

Sociedad Comercial Kaufmann S.A 96572360-9

PM: [~accountid:5ebc5cf14e41b90b7b563350]

Ambiente: Solo Server (retail 6 y QA2)

DTE:

Tipo 46

Requerimiento:

El cliente requiere agregar un campo personalizado al formulario del facturador manual en las 2 sociedades.

Este campo debe mapearse como un personalizado con name=”TOTAL_BRUTO” para ser usado en una sección “Valor a pagar” del PDF

Ejemplo del esperado

En Plataforma

!image-20250515-224723.png|width=994,height=347,alt=""image-20250515-224723.png""!

En XML

<campoString name=""TOTAL_BRUTO"">169823</campoString>",Done,22/May/25 12:21 PM,15/May/25 6:47 PM,"16/May/25 9:14 AM;5ebc5e6cad226b0ba456526d;[~accountid:5e1643c0d5227b0e9d981cb3] para realizar la configuracion en Facturador manual de QA y PRD se necesitan 3 HH. 
Las plantillas no se deben modificar ?

Saludos ","16/May/25 1:05 PM;5e1643c0d5227b0e9d981cb3;hola [~accountid:5ebc5e6cad226b0ba456526d]! las plantillas deben ser creadas
esto esta relacionado al requerimiento[https://sovos.atlassian.net/browse/PSTC-27217|https://sovos.atlassian.net/browse/PSTC-27217|smart-link] donde me percaté de que el dato de “Valor a Pagar” no es normativo y debe ser agregado como personalizado.
Así que estas horas se sumarán a la estimación de creación de plantilla

Saludos  y gracias!!",,,,,,,,PSTC-27255,2662098
CHILE - ESTIMACION - INMOB. PARQUE LA FLORIDA - HABILITACION DE 4 SOCIEDADES - NEW LOGO,"CLIENTE: INMOB. PARQUE LA FLORIDA
RUT: 
76243831-3 - FUNERARIA NUESROS PARQUE SPA
96835970-3 - INMOBILIARIA PARQUE DE LA SERENA SPA
96844000-4 - INMOBILIARIA PARQUE LA FLORIDA SPA
96885180-2 - ADMINISTRADOREA DEL PRADO Y LA FORESTA SPA
SALESFORCE: ADMIN
TAREA: Work Estimation
AMBIENTE: QA y Producción: 
PM: [~accountid:5ebc5b659ce9ee0b89bb1a90] 
SC: [~accountid:5ebc612296bbcb0b85b66075]

DETALLE:

Se solicita la estimación por la habilitación de 4 nuevas sociedades, tanto en QA como Producción, los datos son los siguientes:

*Tipo de documentos a generar por Sociedad:*

!image-20250514-214842.png|width=659,height=386,alt=""image-20250514-214842.png""!

!image-20250514-214856.png|width=652,height=411,alt=""image-20250514-214856.png""!

!image-20250514-214908.png|width=660,height=419,alt=""image-20250514-214908.png""!

!image-20250514-214917.png|width=642,height=426,alt=""image-20250514-214917.png""!

*Nota*: No se considera Certificación de los documentos mencionados, para ninguna sociedad.

* Apoyo y consultoría para la generación de estos tipos de documentos.

*EMISIÓN*.
Características integración BackOffice (BO).

* Ubicación servidor:  Nube de Sovos.
* Modelo de Operación: Full ASP, e-Server compartido.
* Canal de comunicación: Web Services estándar Sovos (1 a 1) y por SFTP (Masivo).
* Mensaje de entrada: Personalizado (XML de cliente)
* Sin impresión automática.
* Foliación: Sovos
* Layout: PDF carta personalizado.
* Contingencia (Emisión manual desde Portal web con plantillas estándar)
* Mailing: estándar.
* Distribución: Estándar.
* Cliente imprime.
* Habilitar Libro de Ventas.
* Migración de 1.2M documentos.

*RECEPCION*.

* Estandar desde el Portal PPL, con acceso a Web Services.

*MODULOS ADICIONALES*

* Folio Management.
* Reclamaciones.
* Recepción Avanzada 2.0

POS

* Protocolo de comunicación Socket
* Monopos (windows)
* 10 POS, considerar 1 de pruebas y 2 prod - cliente realiza el rollout
* impresión en formato térmico
* 3 Rut contemplan POS con un total de 10Pos 

*Nota*: El Rut que no contempla POS es el de ADMINISTRADOREA DEL PRADO Y LA FORESTA SPA (96885180-2). ",Done,16/Jun/25 12:25 PM,14/May/25 6:03 PM,"14/May/25 6:36 PM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Creacion 4 empresas   (QA/PRD)|15|
|Configuracion filtro de   generacion|2|
|Diseño pdf|24|
|Migracion 1.2 MM|5|
|Modulos (FM,Recl)|4|
|Instalacion 12 POS|8|
|Capacitacion/induccion/manual instalacion   POS|3|
|Testing/hypercare|15|
|Total|76|","16/Jun/25 10:43 AM;5ebc5b659ce9ee0b89bb1a90;[~accountid:5ebc5e6cad226b0ba456526d] 

ahora puedes considerar la instalación de 12 POS no 3,

desde ya gracias",16/Jun/25 12:25 PM;5ebc5e6cad226b0ba456526d;[~accountid:5ebc5b659ce9ee0b89bb1a90] actualizado,,,,,,,PSTC-27234,2661099
CHILE - ALSEA - ESTIMACION HHS AGREGAR FACTURA-NOTA DE CREDITO A GENERACION POR EPOS ( 2 RUTS),"*Empresas*
ESTABLECIMIENTOS GASTRONOMICOS ASIAN FOOD CHILE LIMITADA 76149435-K
GASTROCOCINA SUR SPA 76545598-7

*Producto*: PPL
*Tipo Integracion Afectada* : MIXTO POS

*Tipo de Documentos Afectados* : Factura Afecta (33),  Nota de Credito (61)

*Descripcion*

Se solicita estimar la inclusion de DTEs de alcance en emision de POS , tareas a realizar:

* creacion de plantillas (basandose en formato de boletas)
* configuraciones para implementacion de documentos en POS
* Creacion manual para instalacion de cambios en POS
* Para QA considerar instalacion de 1 pos para pruebas por rut 
* configurar distribucion standar

+Servidores Afectados+

*QA (Todos ls ruts)*
GW POS (192.168.198.211)
Server ([https://ereceipt-cl-s01-uat.sovos.com/Facturacion/)|https://ereceipt-cl-s01-uat.sovos.com/Facturacion/)]

*PRD*
Server: Retail 3
GW POS : 192.168.198.134

*Consideraciones*
Considerar habilitacion en ambientes de QA y PRD (Server - GW)
Considerar acompañamiento en pruebas
Considerar apoyo para la creacion de plan cutover
Rollout en Productivo sera realizado por cliente
No se considera certificacion de estos documentos 
Incluir mas tareas de considerarlo necesario",Done,15/May/25 9:01 AM,14/May/25 12:49 PM,"15/May/25 9:01 AM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Cracion plantilla 33 y 61|6|
|Revision/Configuracion epos|2|
|Manual/capacitacion modificacion epos|2|
|Instalacion 1 epos QA|1|
|Testing/hypercare|14|
|Total|25|",,,,,,,,,PSTC-27227,2660465
[CL][PPL][Estimacion][Kaufmann - Generar plantilla tipo 46 2 sociedades],"Cliente: 2 Ruts de Kaufmann

Sociedad Motores de Los Andes SpA 76005909-9

Sociedad Comercial Kaufmann S.A 96572360-9

PM: [~accountid:5ebc5cf14e41b90b7b563350] 

Ambiente: Server y GW del Cliente

DTE:

Tipo 46

Requerimiento:

Se solicita estimar HH para generar las plantillas de documento tipo 46 para los 2 ruts indicados.

Se sugiere utilizar las plantillas de tipo 33 como base y ajustar de acuerdo a:

Cúal es el cambio que requiere?

*Sociedad Motores de Los Andes SpA 76.005.909-9:*

1.- Razón Social: Debe decir “Comercial Motores de los Andes SpA” 

2.-Dirección debe decir: Américo Vespucio Norte N° 0760 

3.-Comuna debe decir: Pudahuel Fono debe decir: 2 519 2210 

4.- Forma de Pago Debe tener la opción de: “Contado o a Crédito” 

5.- Debe decir: S.I.I. Santiago Poniente

6.- Eliminar: Dirección Postal

7.- Eliminar: Dirección de suministro

8.- Eliminar: N° Cliente

9.- Eliminar: 2 campos de comuna (debe permanecer sólo uno)

10.- Eliminar: 2 campos de ciudad (debe permanecer sólo uno)

11.- Cuadro de totales de contar con monto neto

12.- Cuadro de totales debe contar con 19% IVA

13.- Cuadro de totales debe contar con “Total IVA Retenido”

14.- Cuadro de totales debe contar con “Valor a pagar” (Total)

*Sociedad Comercial Kaufmann S.A 96.572.360-9:*

1.- Forma de Pago Debe tener la opción de: “Contado o a Crédito” 

2.- Debe decir: S.I.I. Santiago Poniente

3.- Eliminar: Dirección Postal

5.- Eliminar: Dirección de suministro

6.- Eliminar: N° Cliente

7.- Eliminar: 2 campos de comuna (debe permanecer sólo uno)

8.- Eliminar: 2 campos de ciudad (debe permanecer sólo uno)

9.- Cuadro de totales de contar con monto neto

10.- Cuadro de totales debe contar con 19% IVA

11.- Cuadro de totales debe contar con “Total IVA Retenido”

12.- Cuadro de totales debe contar con “Valor a pagar” (Total)



Quedamos atentos

Saludos!",Done,15/May/25 5:32 PM,14/May/25 9:35 AM,15/May/25 5:32 PM;5ebc5e6cad226b0ba456526d;Se necesitan 6 hh para realizar las modificaciones en ambas sociedades + la carga de plantillas ,,,,,,,,,PSTC-27217,2659782
CHILE - RIPLEY - ESTIMACION HHS MIGRACION GW BO A CLOUD CLIENTE,"*Nombre Empresa*: Holding Ripley
*Rut*: 41 Ruts
*Tipo de Integración*: Mixto BO

*Descripcion*
Se solicita estimar migracion de GW POS Ripley a Cloud Sovos de acuerdo las asiguientes tareas (indicadas como *TC*) :

+QA+ 
Creacion Servidor Nuevo GW POS QA Cloud Sovos →  Ripley
Instalacion Plataforma + BBDD ((ultimo release estable + ultimo posgresql) →  *TC* 
Migracion/Revision configuraciones plataforma+ bbdd (paso de oracle a posgresql) + plantillas + filtros  para habilitar empresas del holding en nuevo GW  --> *TC* 
Apoyo en pruebas →  *TC*

+PRD+ 
Creacion Servidor Nuevo GW POS PRD  Cloud Sovos → Ripley 
Instalacion Plataforma + BBDD ((ultimo release estable + ultimo posgresql) → *TC* 
Migracion configuraciones + bbdd (paso de oracle a posgresql) + plantillas + Folios para habilitar empresas del holding en nuevo GW→  *TC*
Apoyo con creacion de plan cutover → *TC*
Paso a Productivo → *TC* 
Hypercare → *TC*

*Consideraciones*
- Migracion solo involucrara procesos de +Emision+ , segun equipo comercial recepcion sera llevada por solucion Acepta 
- Comuncacion entre GW y Server debera hacerse por https
- Base de dato de GW de cliente es Oracle
- Para QA no considerar migracion de documentos ni Folios
- Proceso Impresion se mantendra (Distributor) 
- Ripley cuenta con BO con filtro personalizado (existen archivos xsl y jar) , se generara ticket CESQ para analizar posibles trabajos a realizar (CESQ-3936) 

Por favor agregar tareas adicionales de considerarlo necesario , Quedo atento a dudas si lo consideras necesario podemos coordinar una call para explicar en mas detalle ",Done,15/May/25 8:58 AM,13/May/25 11:36 AM,"15/May/25 8:57 AM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Migracion mixto a egw cloud sovos QA (app/bd)|8|
|Migracion mixto a egw cloud sovos PRD  (app/bd)|8|
|Configuraciones de empresa|4|
|Testing/hypercare|14|
|Total|34|",,,,,,,,,PSTC-27207,2658439
[CL][PPL][ESTIMACION] SALCOBRAND ,"* Salcobrand S.A. 76031071-9
* Pre-Unic S.A. 91635000-7
* Farmacéutica Medcell Ltda 96706320-7
* Distribuidora Qualimed Limitada 76834916-9

INTEGRACION: Mixto

SC: [~accountid:60a73cdd2009f10068da598e] 

Server dedicado.

case: #[05036197|https://sovos-compliance.lightning.force.com/lightning/r/500Pr00000SHyXcIAL/view]

[^Solicitud sovos v3.1.pdf]



Hola, 



Por favor se solicita revisar si el cliente cuenta con plantilla manual y personalizada para los siguientes documentos: 

*  Factura Electrónica 33 
* Factura No Afecta o Exenta Electrónica 34
*  Guía de Despacho Electrónica 52
*  Nota de Débito Electrónica 56 
* Nota de Crédito Electrónica 61

En caso que no lo tenga, considerar hh para que sea un copia de la plantilla personalizada. 



*2.-* Por favor estimar en la sección de detalle, se deberá cambiar la banda por la que actualmente tiene Medcell  (Código de validación TpoCodigo y VlrCodigo: cl.paperless.sep.common.sii.report.ReportUtils.RetornaValorXPath($P{SOURCE_FILE},""//sii:Detalle[position()="" + (Long.parseLong($F{NroLinDet}))+ ""]/sii:CdgItem[2]/sii:TpoCodigo"").equals(""INT2"") ? cl.paperless.sep.common.sii.report.ReportUtils.RetornaValorXPath($P{SOURCE_FILE},""//sii:Detalle[position()="" + (Long.parseLong($F{NroLinDet}))+ ""]/sii:CdgItem[2]/sii:VlrCodigo"") : """" )



Actualmente tienen los siguientes tags

!image-20250513-144549.png|width=809,height=274,alt=""image-20250513-144549.png""!

Se espera:

En la sección de Descipción cambiar el tag de <DscItem> por <NmbItem>

!image-20250514-121506.png|width=774,height=139,alt=""image-20250514-121506.png""!



En resumen las reglas que tendrán los campos en color verde son:



# Valor código : Si tpoCodigo es distingo de int2 mostar VlrCodigo.
# N° Lote: si tpoCodigo = int2 mostrar vlrCodigo, sino nada.

# Descripcion: Mostar el campo NmbItem



 ",Done,22/May/25 12:00 PM,13/May/25 10:45 AM,"16/May/25 12:26 PM;5ebc57aaf235020b843a6f2d;Katina,

para este cambio se necesita de lo siguiente:

||*ACTIVIDAD*||*HH*||
|Descargar plantillas de PRD (4 ruts)|1|
|Creación de plantillas manuales para los que no tengan (3 de los 4 ruts no tienen manuales)
\\
Modificar la banda de detalle como la que tiene Medcell (3 ruts deben ser modificados)|8|
|Muestras|1|
|Ajustes|2|
|Carga de plantillas en QA|0.5|
|Carga de plantillas en PRD|0.5|
|*TOTAL*|*13 HH*|

Saludos.-","22/May/25 12:00 PM;5ebc5cf14e41b90b7b563350;Hola [~accountid:5ebc57aaf235020b843a6f2d] 



Existe la opción de considerar fecha de corte para este cambio. 

De ser posible, favor indicar las hh adicionales



Gracias",,,,,,,,PSTC-27206,2658383
CHILE - ESTIMACION - CONSTRUMART - ROLLOUT 6 CAJAS EN NUEVA TIENDA LA FLORIDA,"CLIENTE: CONSTRUMART
RUT: 96.511.460-2
INTEGRACION: MIXTO 
SALESFORCE: ADMIN
TAREA: Work Estimation
PM: [~accountid:5ebc5b659ce9ee0b89bb1a90] 
SC: [~accountid:5ebc612296bbcb0b85b66075]

DETALLE:
Estimados, cliente está en un proyecto de habilitación de nueva tienda en La Florida donde se instalarán 6 cajas POS nuevas. Por tal motivo se debe configurar y asignar Folios a 6 cajas POS, este proceso se debe realizar la semana del *19 de mayo*, obviamente esta fecha puede tener alguna desviación debido a que dependen de la entrega del frente de cajas por parte de la Constructora. 

Se adjunta información de las Cajas a configurar para la estimación correspondiente, gracias. 

Codigo Tienda  La Florida - *6060*

Usuario Conexión        root
Password                        geocom

Cajas POS

|*Numero*| |
|*Caja*|*IP*|
|1|10.85.7.135|
|2|10.85.7.136|
|3|10.85.7.137|
|4|10.85.7.138|
|5|10.85.7.139|
|6|10.85.7.140|

 ",Done,16/May/25 11:04 AM,09/May/25 10:05 AM,"12/May/25 10:28 AM;5ebc5e6cad226b0ba456526d;se necesitan 8 HH para realizar instalacion + hypercare incluido.

Saludos",,,,,,,,,PSTC-27176,2653590
[CL][PPL][Estimacion][Kaufmann - HH para revisar modulo de reclamaciones] (05023050),"Cliente: 1 RUT de Kaufmann

* 77479063-2 MDLA VM

Plataforma: Retail 6

PM: [~accountid:5ebc5cf14e41b90b7b563350] 

Requerimiento:

El RUT 77479063-2 MDLA VM tiene el modulo de reclamaciones activado en plataforma

!image-20250508-222403.png|width=776,height=283,alt=""image-20250508-222403.png""!

Sin embargo, el modulo no esta registrando los documentos que son reclamados por los clientes de Kaufmann

!image-20250508-222442.png|width=2538,height=974,alt=""image-20250508-222442.png""!

Se solicita estimar HH necesarias para revisar este issue y corregirlo

Adicionalmente, puede ser que el cliente solicite regularizar días que se no fueron registrados, estimar HH necesarias para regularización de periodos anteriores, considerar tiempo necesario para regularizar 1 mes

Quedamos atentos

Saludos!",Done,12/May/25 10:24 AM,08/May/25 6:27 PM,12/May/25 10:24 AM;5ebc5e6cad226b0ba456526d;Para revisar y corregir  se estima en 3 hh,,,,,,,,,PSTC-27169,2652966
CHILE - RIPLEY - ESTIMACION HHS MIGRACION GW POS A CLOUD SOVOS ,"*Nombre Empresa*: ECCSA S.A., Eccsa Chile S.A.
*Rut*: 83382700-6, 77032236-7
*Tipo de Integración*: Mixto POS

*Descripcion*
Se solicita estimar migracion de GW POS Ripley a Cloud Sovos de acuerdo las asiguientes tareas (indicadas como *TC*) :

+QA+ 

* Creacion Servidor Nuevo GW POS QA Cloud Sovos →  CLE -Desarrollo 
* Instalacion Plataforma + BBDD ((ultimo release estable + ultimo posgresql) →  CLE
* Instalacion Controller en Nuevo GW → CLE 
* Migracion/Revision configuraciones plataforma/controller + bbdd (paso de oracle a posgresql) + plantillas + Folios para habilitar empresas del holding en nuevo GW  --> *TC* 
* creacion nueva URL plataforma + controller https para entregar a cliente → CLI
* creacion de cacert + implementacion de 2 Epos (version actualizada compatible con https) , →  *TC*  
* Apoyo en pruebas →  *TC*

+PRD+ 

* Creacion Servidor Nuevo GW POS PRD  Cloud Sovos → CLE -Desarrollo 
* Instalacion Plataforma + BBDD ((ultimo release estable + ultimo posgresql) → CLE
* Instalacion Controller en Nuevo GW → CLE 
* creacion nueva URL plataforma + controller https para entregar a cliente  → CLI
* Migracion configuraciones + bbdd (paso de oracle a posgresql) + plantillas + Folios para habilitar empresas del holding en nuevo →  *TC*
* creacion de cacert + entrega de ePOS nuevo → *TC* 
* manual de instruccion con paso a paso de como instalar/actualizar POS para que opere con https → *TC*   
* Apoyo con creacion de plan cutover → *TC*
* Paso a Productivo → *TC* 
* Hypercare → *TC*

*Consideraciones* 
Base de dato de GW de cliente es Oracle
POS deben tener salida a internet 
Ripley cuenta con Pos con filtro personalizado
en PRD rollout sera realizado por cliente

Por favor agregar tareas adicionales de considerarlo necesario , Quedo atento a dudas si lo consideras necesario podemos coordinar una call para explicar en mas detalle ",Done,14/May/25 3:44 PM,08/May/25 5:52 PM,"14/May/25 3:44 PM;5ebc5e6cad226b0ba456526d;|Item|HH|
|Creacion egw cloud QA (app + BD)|8|
|Creacion egw Cloud PRD  (app + BD)|8|
|Instalacion y configuracion Controller (PRD/QA)|4|
|Migracion plataforma/data QA|6|
|Migracion plataforma/data PRD|6|
|Migracion 2 ePos + cacert y manual|5|
|Testing/hypercare|20|
|Total|57|",,,,,,,,,PSTC-27168,2652944
